id,GenePk,TxPk,TxSucPk,RxSucPk,RxSucIP_Pk,nCol,PrCol,drop,lastCW
0,1029,3342,1028,0,0,652,0.19509275882704968,0,16
1,1109,3579,1110,0,0,687,0.19195305951383068,1,16
2,1264,3625,1278,0,0,760,0.2096551724137931,0,16
3,947,3213,934,0,0,619,0.19265483971366323,3,16
4,1051,3505,1059,0,0,653,0.18630527817403708,2,16
5,1136,3586,1115,0,0,707,0.19715560513106525,1,16
6,939,3591,934,0,0,659,0.18351434140907824,0,16
7,1055,3436,1071,0,0,625,0.1818975552968568,1,16
8,1121,3654,1113,0,0,716,0.1959496442255063,0,16
9,1199,3635,1199,0,0,719,0.19779917469050895,0,16
10,0,0,0,10842,9892,0,0,0,16
